a1,宗教场所,下海庙,昆明路73号,121.513732,31.260859,3423,3301,3227,3208,3151,3186,3282,3506,3935,4073,3882,4166,4181,4217,4140,4144,4182,4211,4250,4136,3973,3936,3951,3708
a2,宗教场所,龙华寺,龙华路2853号,121.45826,31.180953,458,419,420,395,415,432,469,593,753,610,607,655,609,613,569,582,582,657,661,699,669,632,521,498
a3,宗教场所,二严寺,沪杭公路1749号,121.4582667,30.94111236,310,319,307,300,305,312,323,375,413,392,391,418,411,394,401,414,405,357,354,368,346,324,323,312
a4,宗教场所,真如寺,兰溪路399号,121.408409,31.255372,2822,2743,2684,2668,2629,2698,2832,3094,3301,3131,2951,3157,3073,3120,3118,3136,3248,3265,3414,3605,3454,3267,3030,2890
a5,宗教场所,沉香阁,沉香阁路29号,121.4966404,31.23279877,879,758,715,676,675,736,1082,1661,2846,3540,4049,4862,5253,5219,5457,5326,5008,4569,3876,2919,2543,1955,1431,1090
a6,宗教场所,玉佛寺,安远路170号,121.451713,31.24758644,2673,2510,2426,2356,2302,2383,2602,3023,3536,4370,4638,4803,4967,4933,4909,4756,4819,4795,4592,4287,3891,3697,3310,2912
a7,宗教场所,城隍庙,邑城路1号,121.498344,31.231498,1088,980,937,900,920,955,1205,1594,2563,2838,3286,3892,4152,4147,4235,4177,3958,3629,3283,2581,2248,1782,1450,1258
a8,宗教场所,云翔寺,南翔解放街263号,121.3139411,31.29819402,1401,1327,1271,1236,1214,1271,1359,1460,1577,1652,1715,1767,1746,1748,1730,1684,1645,1735,1782,1841,1691,1605,1535,1453
a9,宗教场所,宝华寺,高平路1000号,121.43464,31.302568,390,377,379,346,343,367,415,523,706,558,408,359,399,405,394,388,398,472,553,537,567,522,498,461
a10,宗教场所,徐家汇天主堂,上海徐汇区蒲西路158号(文定路),121.4430712,31.1974384,3209,3038,2966,2937,2878,2945,3515,5237,8681,9990,10391,11537,12080,12456,12216,12332,12200,12752,12829,10042,8281,6679,4777,3651
a11,宗教场所,佘山天主教堂,上海松江区外青松公路西佘山公园内(,121.198897,31.100616,6,8,6,8,8,8,7,9,8,12,13,17,11,13,9,13,14,14,20,8,10,10,6,9
a12,宗教场所,沐恩堂,上海黄浦区西藏中路316号,121.4821361,31.23912963,2764,2571,2386,2304,2238,2421,3079,3644,7060,9202,9917,11261,11971,12374,12677,12405,12279,12337,13214,9680,7979,6499,4342,3270
a13,宗教场所,国际礼拜堂,上海徐汇区衡山路53号,121.4544609,31.21270403,1727,1652,1482,1397,1330,1298,1497,1966,2457,2870,2953,2987,2887,2920,3095,3121,3101,2964,2893,2519,2411,2417,2225,1971
a14,宗教场所,景灵堂,上海虹口区昆山路135号,121.4945429,31.25509314,3727,3543,3373,3295,3287,3466,3785,4612,6226,8205,8414,8961,8667,8641,8805,8814,8747,8234,7233,6194,5552,5071,4654,4202
a15,宗教场所,董家渡天主堂,上海黄浦区董家渡路185号,121.5109944,31.21997833,627,580,568,540,521,545,573,594,849,1124,1236,1362,1274,1343,1297,1275,1215,1170,988,841,778,715,706,673
a16,宗教场所,鸿德堂,上海虹口区多伦路59号,121.4890149,31.2677781,3346,3213,3108,3076,3032,3171,3323,3653,3996,4384,4483,4739,4619,4623,4684,4730,4849,4524,4509,4453,4245,4020,3794,3457
a17,宗教场所,沪东堂,上海杨浦区国和路350号,121.5256197,31.31407974,188,154,133,122,125,151,191,279,301,350,373,410,282,256,244,240,266,270,273,271,269,249,207,155
a18,宗教场所,东正教圣母大堂,上海徐汇区新乐路55号,121.461971,31.22383436,2249,2023,1842,1683,1659,1721,2125,3138,4515,6324,6964,7342,7843,8124,8026,7804,7755,7818,7798,6654,5639,4909,3797,3032
a19,宗教场所,七宝天主教堂,上海闵行区七宝镇南街50号,121.362214,31.15594,1766,1706,1673,1644,1660,1706,1780,1925,1824,1635,1562,1705,1668,1653,1634,1643,1729,1772,2009,2160,2227,2110,2109,1959
a20,宗教场所,清心堂,大昌街30号,121.502063,31.219208,2544,2424,2425,2341,2361,2482,2705,3077,3404,3225,2985,2970,3008,3061,2894,3084,2979,3229,3443,3338,3142,3077,3028,2808
a21,宗教场所,闸北堂,宝通路340号,121.4832641,31.26413455,3185,3050,3017,2943,2976,3082,3163,3666,4292,4259,4052,4251,4156,4088,4135,4195,4339,4441,4675,4345,4036,3901,3681,3325
a22,宗教场所,灵泉堂,临汾路1555号,121.4450248,31.3165588,2039,1985,1949,1917,1911,1976,2045,2034,1852,1716,1672,1749,1789,1712,1705,1766,1896,1988,2150,2382,2410,2337,2236,2215
a23,宗教场所,怀恩堂,陕西北路375号,121.4598157,31.23551854,2002,1793,1656,1568,1535,1547,1749,2143,3659,6544,7331,7852,8085,8342,8348,8334,8107,7641,6815,5209,4337,3592,2857,2446
a24,宗教场所,新恩堂,乌鲁木齐北路25号,121.447105,31.23116875,5071,4913,4828,4787,4783,4807,5153,6001,8208,9277,9535,10284,10413,10486,10378,10340,10288,10288,10126,8485,7600,7121,6219,5583
a25,宗教场所,安图点,延吉东路143号,121.5517832,31.29887772,672,688,675,675,689,689,779,830,775,848,787,815,795,746,773,813,771,741,802,849,807,812,755,712
a26,宗教场所,诸圣堂,复兴中路425号,121.480021,31.221547,2449,2205,2128,2009,1972,2107,2477,3031,3653,4244,4447,4548,4828,4953,5075,5018,4766,4774,5170,4498,3783,3589,3083,2680
a27,宗教场所,惠中堂,徐家汇路38号,121.4876431,31.2171218,3680,3433,3293,3266,3211,3385,3996,5109,6435,6440,6064,6056,6109,6169,6056,6136,5959,6158,6552,5667,5222,4873,4467,4030
a28,宗教场所,沪西堂,长宁路1465号,121.416037,31.222821,1141,1077,1033,1031,1000,1045,1159,1483,1648,1785,1654,1693,1591,1714,1729,1721,1688,1723,1660,1605,1581,1551,1451,1229
a29,宗教场所,新泾堂,北翟路74号,121.3826885,31.22576771,668,639,610,617,625,660,865,1208,1631,1556,1336,1203,1262,1173,1154,1211,1199,1367,1294,1038,990,948,868,770
a30,宗教场所,普安堂,镇坪路152号,121.4358702,31.25601244,2308,2175,2096,2085,2084,2273,2773,3654,5090,4912,4759,4640,4495,4555,4569,4828,4793,5073,5475,4974,4164,3638,3263,2714
a31,宗教场所,桃浦堂,桃浦镇绿杨路259号,121.3606796,31.29142101,1086,1032,1042,1029,1046,1129,1278,1572,1506,1414,1437,1445,1413,1344,1322,1311,1461,1502,1611,1609,1589,1337,1256,1201
a32,宗教场所,国际堂,衡山路53号,121.454461,31.212699,1727,1652,1482,1397,1330,1298,1497,1966,2457,2870,2953,2987,2887,2920,3095,3121,3101,2964,2893,2519,2411,2417,2225,1971
a33,宗教场所,浦东福音堂,浦电路518号,121.5425023,31.23099118,1995,1922,1867,1857,1846,1994,2146,2603,4401,5742,5745,6141,5987,5793,5773,5948,5621,5465,4366,3533,3131,2875,2572,2321
a35,宗教场所,主恩堂,东陆路552号,121.592805,31.28599,460,446,460,457,455,463,491,559,515,388,364,333,300,316,338,331,371,410,510,578,576,587,541,485
a36,宗教场所,灵恩堂,高桥石家街69弄4号,121.5876365,31.35051752,1383,1348,1341,1286,1331,1319,1319,1294,1292,1369,1374,1383,1310,1340,1364,1267,1351,1379,1468,1492,1494,1471,1413,1369
a37,宗教场所,天恩堂,川沙三灶浜路134号,121.7075148,31.20320383,3571,3412,3379,3368,3346,3434,3496,3581,3726,4013,4013,4286,4223,4182,4108,4240,4227,4167,4223,4423,4345,4135,3842,3646
a39,宗教场所,救恩堂,耀华路439号,121.48954,31.178999,22,18,15,11,12,14,38,159,273,207,143,129,145,138,132,131,117,121,119,90,68,59,51,27
a40,宗教场所,三一堂三林镇西南,浦星路290号,121.5011822,31.13223316,624,593,578,581,580,627,676,744,742,609,575,562,566,605,570,591,679,674,811,866,798,765,710,668
a41,宗教场所,闵行福音堂,马桥镇友好村华宁路245号,121.400396,31.01940853,2971,2957,2942,2891,2913,2981,3103,3289,3085,2969,2833,2968,2923,2925,2842,2888,2881,2973,3085,3234,3191,3225,3138,3087
a42,宗教场所,北桥耶稣堂,北桥镇北吴路1500号,121.4219548,31.05120851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a43,宗教场所,吴泾福音堂,吴泾龙吴路5330号,121.4732953,31.05425512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a45,宗教场所,杨行堂,杨行镇杨泰路510弄5号,121.4460909,31.38320562,125,95,90,93,92,87,92,101,119,113,91,131,114,117,110,118,114,122,130,156,122,108,102,101
a48,宗教场所,大场堂,大场镇少年村路297号,121.4335012,31.30570744,1346,1326,1327,1273,1257,1308,1341,1503,1694,1487,1280,1323,1375,1356,1347,1305,1333,1463,1559,1613,1700,1601,1537,1449
a49,宗教场所,泗塘施恩堂,泗塘一村7号,121.4627341,31.34482383,2159,2241,2274,2302,2291,2277,2165,2109,2092,2203,2085,2181,2217,2189,2207,2226,2164,2134,2226,2369,2281,2252,2222,2213
b1,场馆院所,上海科技馆,上海市浦东新区世纪大道2000号,121.5476638,31.22412566,281,270,270,253,262,266,461,1084,2165,2365,1637,1663,1586,1724,1694,1847,1821,2271,2960,2007,1247,960,609,374
b2,场馆院所,上海杜莎夫人蜡像馆,上海市黄浦区南京西路2-68号新世界商厦10楼,121.4802067,31.24071409,1974,1870,1749,1684,1627,1734,2026,2637,5632,7015,7312,8455,9130,9377,9423,9450,9479,9724,10877,7821,6491,5173,3272,2353
b3,场馆院所,上海博物馆,上海市黄浦区人民大道201号,121.4825792,31.23409203,2054,1862,1652,1503,1428,1479,1982,2166,3551,5961,6955,7692,7952,8096,8131,7910,7746,7453,7089,5451,4380,3765,2784,2343
b4,场馆院所,上海影视乐园,上海市松江区车墩镇北松公路4915号,121.3166366,31.01857895,266,265,247,247,238,229,240,266,227,283,272,278,256,250,283,277,248,233,272,287,316,326,301,237
